project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
pursecookie_java-filmorate,14.42,2.94,117,146,217,286,100,129
aws-samples_apache-flink-near-online-data-enrichment-patterns,0.0,0.0,81,81,324,324,74,74
shabbirdwd53_springboot-mongodb,2.63,0.0,140,147,96,107,76,83
liuhongdi_apiversion,36.36,12.5,18,31,26,42,11,23
liuhongdi_ratelimiter,11.26,0.0,45,54,118,134,41,50
arjungautam1_aws_image_upload,0.0,0.0,47,47,112,112,38,38
ilxqx_spring-security-leaning-demo,0.0,0.0,93,93,200,200,72,72
devsuperior_aula-20210511,51.57,0.0,14,21,27,44,14,21
amigoscode_springboot-twilio,44.9,0.0,11,24,26,55,10,23
fiap_postech_soat_devops_desafio_disciplina,100.0,100.0,0,9,0,26,0,7
techprimers_ratelimiter-example,29.41,0.0,2,4,2,4,2,4
hackyleshawe_remotelogviewer,0.0,0.0,93,93,239,239,62,62
rmondejar_spring-boot-junit5-example,70.47,38.71,71,197,7,124,15,135
raffoulricardo_movimento-qa-2023,2.24,0.0,81,84,38,43,39,42
floppir_auth,15.39,0.0,131,156,273,314,115,140
yoandypv_spring-boot-rabbit-mq,31.43,0.0,10,19,23,32,10,19
mohamedyoussfi_kafka-spring-cloud-stream,16.94,4.17,72,92,103,130,48,68
oldfr_authentication-server,7.14,0.0,8,10,26,28,8,10
fatihhernn_spring-boot-ecommerce,14.36,1.82,107,117,25,53,53,62
gsmgeeth_medium-coffeeshop-sample,25.74,0.0,72,87,144,208,57,72
ashrawan_apache-poi-chart-sample,19.92,8.99,487,597,1217,1586,182,283
francoiducat_springboot-minimal-graphql-client,11.11,0.0,19,23,35,41,19,23
xiangfangsong_java_springboot_demo,5.06,0.0,29,32,53,56,27,30
karthikkavina_fabric-idemix-identity-demo,0.68,0.0,59,61,265,268,51,53
selimhorri_embedded-mongo-playing-with-spring-boot,3.06,0.0,88,91,61,64,54,57
oldfr_eureka_service_registry,37.5,0.0,1,2,2,3,1,2
oldfr_first_microservice,6.9,0.0,11,13,22,24,11,13
oldfr_second_microservice,6.45,0.0,12,14,24,26,12,14
cdiscount_solr-autocomplete,75.28,54.17,302,608,325,1385,58,260
dustinschultz_todo-app,21.59,0.0,23,30,43,58,23,30
smadil997_spring-netty-socketio-seed,35.34,0.0,34,45,21,47,19,30
smartup-tech_time-tracker,26.04,11.16,2634,3403,1673,2997,1270,1925
jivkomg_dto-validation-demo,27.91,0.0,77,111,166,257,49,83
awslabs_real-time-vectorization-of-streaming-data,28.3,21.25,273,341,594,820,109,162
momir96_web-shop-moxilla,38.45,0.0,110,168,235,423,76,134
jsalonl_interceptor-springboot,93.63,75.0,6,102,0,112,4,98
creativityfactory_swiftserve,0.0,0.0,302,302,819,819,161,161
